x,running_time
1,650.00
2,471.00
3,564.00
4,576.00
5,544.00
6,708.00
7,547.00
8,564.00
9,564.00
10,547.00
11,623.00
12,709.00
13,658.00
14,619.00
15,798.00
16,661.00
17,748.00
18,654.00
19,697.00
20,700.00
21,646.00
22,629.00
23,584.00
24,710.00
25,813.00
26,826.00
27,688.00
28,800.00
29,675.00
30,763.00
31,851.00
32,634.00
33,818.00
34,938.00
35,1019.00
36,859.00
37,749.00
38,745.00
39,983.00
40,740.00
41,911.00
42,788.00
43,903.00
44,697.00
45,711.00
46,782.00
47,677.00
48,6408.00
49,16454.00
50,34052.00
51,558.00
52,514.00
53,509.00
54,591.00
55,666.00
56,517.00
57,519.00
58,565.00
59,589.00
60,564.00
61,800.00
62,765.00
63,559.00
64,571.00
65,618.00
66,666.00
67,650.00
68,657.00
69,554.00
70,652.00
71,535.00
72,570.00
73,621.00
74,760.00
75,709.00
76,778.00
77,566.00
78,615.00
79,1013.00
80,629.00
81,794.00
82,788.00
83,587.00
84,545.00
85,567.00
86,662.00
87,586.00
88,540.00
89,667.00
90,711.00
91,624.00
92,611.00
93,741.00
94,649.00
95,605.00
96,568.00
97,665.00
98,714.00
99,740.00
100,632.00
