x,running_time
1,112.00
2,102.00
3,111.00
4,104.00
5,123.00
6,131.00
7,124.00
8,111.00
9,132.00
10,131.00
11,145.00
12,158.00
13,144.00
14,167.00
15,139.00
16,133.00
17,163.00
18,159.00
19,149.00
20,158.00
21,147.00
22,255.00
23,149.00
24,155.00
25,214.00
26,155.00
27,167.00
28,185.00
29,182.00
30,165.00
31,287.00
32,180.00
33,242.00
34,248.00
35,267.00
36,314.00
37,316.00
38,397.00
39,239.00
40,237.00
41,334.00
42,260.00
43,333.00
44,393.00
45,240.00
46,433.00
47,392.00
48,285.00
49,339.00
50,487.00
51,147.00
52,149.00
53,143.00
54,134.00
55,149.00
56,164.00
57,139.00
58,149.00
59,165.00
60,139.00
61,155.00
62,143.00
63,146.00
64,150.00
65,143.00
66,170.00
67,160.00
68,149.00
69,172.00
70,158.00
71,155.00
72,160.00
73,165.00
74,171.00
75,159.00
76,161.00
77,190.00
78,154.00
79,162.00
80,188.00
81,168.00
82,156.00
83,172.00
84,182.00
85,162.00
86,174.00
87,207.00
88,174.00
89,167.00
90,209.00
91,182.00
92,177.00
93,218.00
94,212.00
95,230.00
96,252.00
97,183.00
98,191.00
99,190.00
100,202.00
