x,running_time
1,162.00
2,102.00
3,138.00
4,119.00
5,651.00
6,36067.00
7,1200000.00
8,77123.00
9,435071.00
10,1188364.00
11,541202.00
12,684712.00
13,808032.00
14,730392.00
15,1143799.00
16,1190836.00
17,1024033.00
18,987638.00
19,649424.00
20,999236.00
21,715868.00
22,654534.00
23,580967.00
24,353145.00
25,858018.00
26,321628.00
27,291611.00
28,994636.00
29,507408.00
30,504191.00
31,467626.00
32,317844.00
33,219723.00
34,169365.00
35,1116193.00
36,95186.00
37,938941.00
38,665098.00
39,1186337.00
40,691044.00
41,75447.00
42,1190775.00
43,374410.00
44,687846.00
45,1012142.00
46,220760.00
47,1145414.00
48,377380.00
49,419595.00
50,830435.00
51,480722.00
52,775171.00
53,623252.00
54,889094.00
55,766778.00
56,387807.00
57,1043676.00
58,732742.00
59,824348.00
60,144867.00
61,875053.00
62,598854.00
63,626232.00
64,975837.00
65,994848.00
66,164688.00
67,1168182.00
68,230948.00
69,876959.00
70,1119061.00
71,298703.00
72,838995.00
73,594059.00
74,738118.00
75,585005.00
76,949118.00
77,1070290.00
78,310329.00
79,340817.00
80,282888.00
81,584594.00
82,770269.00
83,558833.00
84,663539.00
85,1123839.00
86,1186445.00
87,490188.00
88,994247.00
89,682453.00
90,1115935.00
91,171383.00
92,608635.00
93,643131.00
94,704058.00
95,368561.00
96,90550.00
97,880524.00
98,530610.00
99,982839.00
100,334379.00
