x,running_time
1,341.00
2,290.00
3,291.00
4,325.00
5,272.00
6,456.00
7,480.00
8,362.00
9,609.00
10,483.00
11,407.00
12,450.00
13,338.00
14,437.00
15,441.00
16,509.00
17,305.00
18,507.00
19,397.00
20,552.00
21,326.00
22,530.00
23,666.00
24,502.00
25,416.00
26,445.00
27,361.00
28,543.00
29,505.00
30,574.00
31,1349.00
32,486.00
33,677.00
34,436.00
35,520.00
36,434.00
37,1213.00
38,428.00
39,610.00
40,776.00
41,752.00
42,454.00
43,587.00
44,486.00
45,833.00
46,1155.00
47,503.00
48,740.00
49,800.00
50,976.00
51,1345.00
52,1200.00
53,1700.00
54,1600.00
55,1911.00
56,1574.00
57,1255.00
58,1091.00
59,1073.00
60,1605.00
61,1841.00
62,1942.00
63,1647.00
64,1473.00
65,1051.00
66,1455.00
67,1952.00
68,1048.00
69,1799.00
70,1909.00
71,1586.00
72,1089.00
73,1042.00
74,1576.00
75,1761.00
76,1649.00
77,1158.00
78,1713.00
79,1098.00
80,1940.00
81,1634.00
82,1284.00
83,1646.00
84,1318.00
85,1298.00
86,1535.00
87,1948.00
88,1475.00
89,1746.00
90,1135.00
91,1195.00
92,1515.00
93,1776.00
94,1811.00
95,1470.00
96,1245.00
97,1367.00
98,1676.00
99,1139.00
100,1301.00
