x,running_time
1,523.00
2,577.00
3,574.00
4,542.00
5,461.00
6,425.00
7,386.00
8,708.00
9,541.00
10,538.00
11,578.00
12,574.00
13,628.00
14,558.00
15,556.00
16,529.00
17,542.00
18,568.00
19,577.00
20,641.00
21,591.00
22,700.00
23,679.00
24,607.00
25,614.00
26,553.00
27,656.00
28,533.00
29,638.00
30,752.00
31,640.00
32,746.00
33,622.00
34,694.00
35,613.00
36,837.00
37,774.00
38,664.00
39,808.00
40,689.00
41,769.00
42,858.00
43,701.00
44,754.00
45,723.00
46,821.00
47,888.00
48,731.00
49,902.00
50,723.00
51,620.00
52,645.00
53,609.00
54,652.00
55,596.00
56,633.00
57,569.00
58,569.00
59,802.00
60,751.00
61,716.00
62,685.00
63,562.00
64,602.00
65,586.00
66,749.00
67,668.00
68,605.00
69,893.00
70,581.00
71,484.00
72,495.00
73,662.00
74,657.00
75,553.00
76,665.00
77,702.00
78,788.00
79,622.00
80,615.00
81,642.00
82,702.00
83,643.00
84,597.00
85,690.00
86,700.00
87,669.00
88,683.00
89,658.00
90,663.00
91,705.00
92,760.00
93,854.00
94,663.00
95,739.00
96,699.00
97,665.00
98,648.00
99,623.00
100,734.00
