x,running_time
1,200.00
2,136.00
3,140.00
4,160.00
5,144.00
6,146.00
7,156.00
8,184.00
9,163.00
10,213.00
11,189.00
12,169.00
13,178.00
14,214.00
15,211.00
16,193.00
17,189.00
18,198.00
19,183.00
20,188.00
21,307.00
22,219.00
23,228.00
24,268.00
25,287.00
26,287.00
27,321.00
28,341.00
29,389.00
30,247.00
31,299.00
32,252.00
33,320.00
34,348.00
35,252.00
36,286.00
37,346.00
38,345.00
39,428.00
40,258.00
41,422.00
42,388.00
43,356.00
44,269.00
45,511.00
46,579.00
47,499.00
48,412.00
49,531.00
50,530.00
51,190.00
52,193.00
53,181.00
54,184.00
55,184.00
56,183.00
57,200.00
58,186.00
59,186.00
60,202.00
61,193.00
62,203.00
63,195.00
64,200.00
65,216.00
66,193.00
67,198.00
68,196.00
69,216.00
70,206.00
71,209.00
72,214.00
73,204.00
74,219.00
75,221.00
76,205.00
77,222.00
78,206.00
79,228.00
80,219.00
81,232.00
82,223.00
83,215.00
84,258.00
85,229.00
86,240.00
87,231.00
88,231.00
89,245.00
90,228.00
91,249.00
92,247.00
93,234.00
94,244.00
95,255.00
96,243.00
97,242.00
98,262.00
99,245.00
100,259.00
