x,running_time
1,140.00
2,161.00
3,167.00
4,1299.00
5,1840.00
6,5680.00
7,4000.00
8,114812.00
9,77228.00
10,64053.00
11,245163.00
12,267318.00
13,276622.00
14,291533.00
15,315595.00
16,328522.00
17,342641.00
18,369161.00
19,377946.00
20,391211.00
21,411141.00
22,417029.00
23,431858.00
24,434473.00
25,476292.00
26,539692.00
27,560606.00
28,562312.00
29,593829.00
30,617326.00
31,633550.00
32,674528.00
33,678745.00
34,691034.00
35,736884.00
36,767566.00
37,769201.00
38,769904.00
39,783067.00
40,798558.00
41,810212.00
42,816913.00
43,819435.00
44,866723.00
45,914764.00
46,939218.00
47,947481.00
48,956256.00
49,984940.00
50,985303.00
51,999496.00
52,1003566.00
53,1020213.00
54,1033909.00
55,1039304.00
56,1041644.00
57,1082457.00
58,1085531.00
59,1100740.00
60,1107401.00
61,1119074.00
62,1156093.00
63,1167516.00
64,1190053.00
65,1200000.00
66,1200000.00
67,1200000.00
68,1200000.00
69,1200000.00
70,1200000.00
71,1200000.00
72,1200000.00
73,1200000.00
74,1200000.00
75,1200000.00
76,1200000.00
77,1200000.00
78,1200000.00
79,1200000.00
80,1200000.00
81,1200000.00
82,1200000.00
83,1200000.00
84,1200000.00
85,1200000.00
86,1200000.00
87,1200000.00
88,1200000.00
89,1200000.00
90,1200000.00
91,1200000.00
92,1200000.00
93,1200000.00
94,1200000.00
95,1200000.00
96,1200000.00
97,1200000.00
98,1200000.00
99,1200000.00
100,1200000.00
