x,running_time
1,570.00
2,1400.00
3,2600.00
4,3000.00
5,4561.00
6,5680.00
7,4000.00
8,8940.00
9,77228.00
10,64053.00
11,245163.00
12,292517.00
13,303111.00
14,315766.00
15,322083.00
16,327981.00
17,339216.00
18,361315.00
19,363642.00
20,434269.00
21,434932.00
22,492849.00
23,504360.00
24,553580.00
25,557822.00
26,567785.00
27,600181.00
28,644218.00
29,652296.00
30,655142.00
31,677545.00
32,681223.00
33,687540.00
34,758382.00
35,770925.00
36,787885.00
37,789859.00
38,860624.00
39,936758.00
40,940491.00
41,982624.00
42,986242.00
43,996290.00
44,1022766.00
45,1029299.00
46,1032518.00
47,1046119.00
48,1070073.00
49,1081271.00
50,1104336.00
51,1110452.00
52,1146391.00
53,1200000.00
54,1200000.00
55,1200000.00
56,1200000.00
57,1200000.00
58,1200000.00
59,1200000.00
60,1200000.00
61,1200000.00
62,1200000.00
63,1200000.00
64,1200000.00
65,1200000.00
66,1200000.00
67,1200000.00
68,1200000.00
69,1200000.00
70,1200000.00
71,1200000.00
72,1200000.00
73,1200000.00
74,1200000.00
75,1200000.00
76,1200000.00
77,1200000.00
78,1200000.00
79,1200000.00
80,1200000.00
81,1200000.00
82,1200000.00
83,1200000.00
84,1200000.00
85,1200000.00
86,1200000.00
87,1200000.00
88,1200000.00
89,1200000.00
90,1200000.00
91,1200000.00
92,1200000.00
93,1200000.00
94,1200000.00
95,1200000.00
96,1200000.00
97,1200000.00
98,1200000.00
99,1200000.00
100,1200000.00
