x,running_time
1,56.33
2,769.33
3,614.00
4,110175.33
5,1200000.00
6,1200000.00
7,1200000.00
8,1200000.00
9,1200000.00
10,1200000.00
11,1200000.00
12,1200000.00
13,1200000.00
14,1200000.00
15,1200000.00
16,1200000.00
17,1200000.00
18,1200000.00
19,1200000.00
20,1200000.00
21,1200000.00
22,1200000.00
23,1200000.00
24,1200000.00
25,1200000.00
26,1200000.00
27,1200000.00
28,1200000.00
29,1200000.00
30,1200000.00
31,1200000.00
32,1200000.00
33,1200000.00
34,1200000.00
35,1200000.00
36,1200000.00
37,1200000.00
38,1200000.00
39,1200000.00
40,1200000.00
41,1200000.00
42,1200000.00
43,1200000.00
44,1200000.00
45,1200000.00
46,1200000.00
47,1200000.00
48,1200000.00
49,1200000.00
50,1200000.00
51,1200000.00
52,1200000.00
53,1200000.00
54,1200000.00
55,1200000.00
56,1200000.00
57,1200000.00
58,1200000.00
59,1200000.00
60,1200000.00
61,1200000.00
62,1200000.00
63,1200000.00
64,1200000.00
65,1200000.00
66,1200000.00
67,1200000.00
68,1200000.00
69,1200000.00
70,1200000.00
71,1200000.00
72,1200000.00
73,1200000.00
74,1200000.00
75,1200000.00
76,1200000.00
77,1200000.00
78,1200000.00
79,1200000.00
80,1200000.00
81,1200000.00
82,1200000.00
83,1200000.00
84,1200000.00
85,1200000.00
86,1200000.00
87,1200000.00
88,1200000.00
89,1200000.00
90,1200000.00
91,1200000.00
92,1200000.00
93,1200000.00
94,1200000.00
95,1200000.00
96,1200000.00
97,1200000.00
98,1200000.00
99,1200000.00
100,1200000.00
