x,running_time
1,729.67
2,802.00
3,597.33
4,720.33
5,866.00
6,607.33
7,578.33
8,557.67
9,540.67
10,771.33
11,707.00
12,474.00
13,901.67
14,581.00
15,535.33
16,639.67
17,649.33
18,644.33
19,699.33
20,605.33
21,658.33
22,633.33
23,612.00
24,631.33
25,670.33
26,823.67
27,887.33
28,815.00
29,781.67
30,772.67
31,933.33
32,882.33
33,1015.33
34,669.33
35,758.67
36,688.67
37,597.33
38,654.00
39,801.00
40,788.67
41,885.67
42,773.33
43,719.00
44,812.33
45,686.67
46,4583.00
47,628.33
48,1081.00
49,778.33
50,765.00
51,743.33
52,733.67
53,743.67
54,861.67
55,814.67
56,1356.33
57,1393.00
58,747.33
59,1873.33
60,1637.67
61,877.67
62,1939.67
63,1446.00
64,1234.67
65,853.00
66,892.67
67,1447.33
68,1439.67
69,1321.33
70,1383.00
71,829.67
72,939.67
73,1011.33
74,811.67
75,892.33
76,847.00
77,967.33
78,921.00
79,990.67
80,929.67
81,900.00
82,988.67
83,795.33
84,906.67
85,1025.67
86,894.00
87,955.00
88,960.67
89,916.67
90,991.67
91,850.67
92,800.00
93,847.00
94,1234.67
95,848.00
96,914.00
97,793.33
98,913.00
99,1202.33
100,1045.00
